team,abbr
Assumption,ASS
Bemidji State,BEM
Bishops,BIS
Boston College,BC_
Boston University,BU_
Brown,BRO
Clarkson,CLA
Colgate,COL
Concordia,CU_
Connecticut,CON
Cornell,COR
Dartmouth,DAR
Delaware,DEL
Durham,DU_
Durham West,DUW
Franklin Pierce,FRA
Harvard,HAR
Holy Cross,HCR
Lindenwood,LIN
LIU,LIU
Maine,MAI
McGill,MCG
Mercyhurst,MRC
Merrimack,MER
Minnesota,MIN
Minnesota Duluth,MID
Minnesota State,MST
New Brunswick,NBR
New Hampshire,UNH
Northeastern,NOE
Ohio State,OSU
Ottawa,OTT
Penn State,PEN
Post,POS
Princeton,PRI
Providence,PRV
Quinnipiac,QUI
Rensselaer,REN
RPI,REN
RIT,RIT
Robert Morris,ROB
Sacred Heart,SAC
Saint Anslem,STA
St. Anselm,STA
St. Cloud State,STC
St. Lawrence,STL
St. Michael's,STM
St. Thomas,STT
Stonehill,STO
Syracuse,SYR
Toronto,TOR
Union,UNI
Vermont,VER
Wisconsin,WIS
Yale,YAL
